"subID","block","trial","image","imageIdx","cueIdx","cue_string","congruent","response","accuracy","RT","cueDuration","learningRound","trueCue","congCue","imgLockedRT"
68,1,30," S4-20.jpg",1,3," green","neutral",1,1,1.4494,0.9833,1,0.5,0.5,0.4661
68,1,31," S4-20.jpg",1,1," purple","congruent",1,1,1.5881,0.85,1,0.65,0.65,0.7381
68,1,32," S3-12.jpg",2,2," orange","congruent",2,1,1.3065,0.8667,1,0.65,0.65,0.4398
68,1,33," S3-12.jpg",2,3," green","neutral",2,1,1.3073,0.9,1,0.5,0.5,0.4073
68,1,34," S4-20.jpg",1,1," purple","congruent",1,1,1.2013,0.8667,1,0.65,0.65,0.3346
68,1,35," S4-20.jpg",1,3," green","neutral",2,0,0.9644,0.7833,1,0.5,0.5,0.1811
68,1,36," S4-20.jpg",1,2," orange","incongruent",2,0,0.9294,0.8,1,0.65,0.35,0.1294
68,1,37," S4-20.jpg",1,3," green","neutral",2,0,1.0024,0.75,1,0.5,0.5,0.2524
68,1,38," S4-20.jpg",1,1," purple","congruent",1,1,1.3781,1.0167,1,0.65,0.65,0.3614
68,1,39," S4-20.jpg",1,1," purple","congruent",1,1,1.3891,1,1,0.65,0.65,0.3891
68,1,40," S3-12.jpg",2,2," orange","congruent",2,1,1.1778,0.7833,1,0.65,0.65,0.3945
68,1,41," S4-20.jpg",1,3," green","neutral",1,1,1.3413,0.8167,1,0.5,0.5,0.5246
68,1,42," S4-20.jpg",1,1," purple","congruent",1,1,1.6017,1.1833,1,0.65,0.65,0.4184
68,1,43," S3-12.jpg",2,2," orange","congruent",2,1,1.3427,0.8833,1,0.65,0.65,0.4594
68,1,44," S3-12.jpg",2,2," orange","congruent",2,1,0.799,0.7667,1,0.65,0.65,0.0323
68,1,45," S4-20.jpg",1,2," orange","incongruent",2,0,0.6069,0.9,1,0.65,0.35,-0.2931
68,1,46," S3-12.jpg",2,2," orange","congruent",2,1,0.8585,0.8333,1,0.65,0.65,0.0252
68,1,47," S4-20.jpg",1,1," purple","congruent",1,1,0.8309,1.1167,1,0.65,0.65,-0.2858
68,1,48," S3-12.jpg",2,2," orange","congruent",2,1,0.6352,0.7667,1,0.65,0.65,-0.1315
68,1,49," S3-12.jpg",2,3," green","neutral",2,1,1.5197,1.0167,1,0.5,0.5,0.503
68,1,50," S4-20.jpg",1,1," purple","congruent",1,1,0.8511,0.8667,1,0.65,0.65,-0.0156000000000001
68,1,51," S3-12.jpg",2,2," orange","congruent",2,1,0.3981,1.2,1,0.65,0.65,-0.8019
68,1,52," S4-20.jpg",1,1," purple","congruent",1,1,0.6973,0.8667,1,0.65,0.65,-0.1694
68,1,53," S4-20.jpg",1,2," orange","incongruent",2,0,0.8235,0.8,1,0.65,0.35,0.0235
68,1,54," S4-20.jpg",1,1," purple","congruent",1,1,1.1896,0.9,1,0.65,0.65,0.2896
68,1,55," S3-12.jpg",2,1," purple","incongruent",1,0,1.1212,0.85,1,0.65,0.35,0.2712
68,1,56," S4-20.jpg",1,2," orange","incongruent",2,0,0.4657,0.8,1,0.65,0.35,-0.3343
68,1,57," S3-12.jpg",2,1," purple","incongruent",2,1,1.4366,0.8167,1,0.65,0.35,0.6199
68,1,58," S3-12.jpg",2,3," green","neutral",2,1,1.6832,1.15,1,0.5,0.5,0.5332
68,1,59," S3-12.jpg",2,3," green","neutral",2,1,1.1784,0.7833,1,0.5,0.5,0.3951
68,1,60," S4-20.jpg",1,3," green","neutral",2,0,1.3426,0.9833,1,0.5,0.5,0.3593
68,1,61," S4-20.jpg",1,1," purple","congruent",1,1,1.2719,0.8167,1,0.65,0.65,0.4552
68,1,62," S4-20.jpg",1,3," green","neutral",1,1,1.4961,0.85,1,0.5,0.5,0.6461
68,1,63," S3-12.jpg",2,2," orange","congruent",2,1,1.2595,0.8833,1,0.65,0.65,0.3762
68,1,64," S4-20.jpg",1,3," green","neutral",1,1,1.4485,0.8333,1,0.5,0.5,0.6152
68,1,65," S4-20.jpg",1,1," purple","congruent",1,1,1.4718,0.9167,1,0.65,0.65,0.5551
68,1,66," S4-20.jpg",1,1," purple","congruent",1,1,1.32,0.75,1,0.65,0.65,0.57
68,1,67," S4-20.jpg",1,3," green","neutral",1,1,1.3431,0.7833,1,0.5,0.5,0.5598
68,1,68," S3-12.jpg",2,2," orange","congruent",2,1,1.3898,0.7667,1,0.65,0.65,0.6231
68,1,69," S4-20.jpg",1,3," green","neutral",2,0,0.8474,0.7667,1,0.5,0.5,0.0807
68,1,70," S4-20.jpg",1,2," orange","incongruent",2,0,0.3426,1.0667,1,0.65,0.35,-0.7241
68,1,71," S3-12.jpg",2,2," orange","congruent",2,1,0.4903,0.7833,1,0.65,0.65,-0.293
68,1,72," S3-12.jpg",2,2," orange","congruent",2,1,0.496,1.1,1,0.65,0.65,-0.604
68,1,73," S4-20.jpg",1,1," purple","congruent",1,1,0.5832,0.8833,1,0.65,0.65,-0.3001
68,1,74," S4-20.jpg",1,1," purple","congruent",1,1,0.4954,0.7833,1,0.65,0.65,-0.2879
68,1,75," S3-12.jpg",2,2," orange","congruent",2,1,0.5323,0.8,1,0.65,0.65,-0.2677
68,1,76," S3-12.jpg",2,2," orange","congruent",2,1,0.4633,0.95,1,0.65,0.65,-0.4867
68,1,77," S3-12.jpg",2,3," green","neutral",2,1,1.8128,0.8333,1,0.5,0.5,0.9795
68,1,78," S3-12.jpg",2,3," green","neutral",2,1,1.0242,0.7833,1,0.5,0.5,0.2409
68,1,79," S3-12.jpg",2,2," orange","congruent",2,1,0.951,1.1667,1,0.65,0.65,-0.2157
68,1,80," S3-12.jpg",2,1," purple","incongruent",1,0,0.6921,1.5,1,0.65,0.35,-0.8079
68,1,81," S3-12.jpg",2,2," orange","congruent",2,1,0.4459,0.8167,1,0.65,0.65,-0.3708
68,1,82," S3-12.jpg",2,1," purple","incongruent",1,0,1.1421,0.8667,1,0.65,0.35,0.2754
68,1,83," S3-12.jpg",2,3," green","neutral",2,1,0.6289,1.05,1,0.5,0.5,-0.4211
68,1,84," S3-12.jpg",2,1," purple","incongruent",2,1,1.3782,0.8167,1,0.65,0.35,0.5615
68,1,85," S4-20.jpg",1,1," purple","congruent",1,1,1.4016,0.9333,1,0.65,0.65,0.4683
68,1,86," S3-12.jpg",2,1," purple","incongruent",1,0,0.9654,0.7667,1,0.65,0.35,0.1987
68,1,87," S3-12.jpg",2,3," green","neutral",2,1,0.5481,0.7667,1,0.5,0.5,-0.2186
68,1,88," S4-20.jpg",1,1," purple","congruent",1,1,0.7699,0.95,1,0.65,0.65,-0.1801
68,1,89," S3-12.jpg",2,3," green","neutral",2,1,0.6115,0.7667,1,0.5,0.5,-0.1552
